Alpha Gain,Alpha Loss,Beta,Gamma,propA,propC
0.05,0.05,0.5,1.0,0.4244,0.5656000000000002
0.05,0.075,0.5,1.0,0.43879999999999997,0.5512
0.05,0.1,0.5,1.0,0.4423000000000002,0.5477000000000001
0.05,0.125,0.5,1.0,0.4317,0.5583
0.05,0.15,0.5,1.0,0.4302000000000001,0.5598000000000001
0.05,0.175,0.5,1.0,0.4262999999999999,0.5637000000000003
0.05,0.2,0.5,1.0,0.4343,0.5557000000000001
0.05,0.225,0.5,1.0,0.4479000000000001,0.5420999999999999
0.05,0.25,0.5,1.0,0.44959999999999967,0.5404
0.05,0.275,0.5,1.0,0.46020000000000016,0.5298000000000002
0.05,0.3,0.5,1.0,0.4311,0.5589
0.05,0.325,0.5,1.0,0.44329999999999997,0.5467
0.05,0.35,0.5,1.0,0.4393000000000001,0.5507000000000001
0.05,0.375,0.5,1.0,0.45620000000000005,0.5338000000000003
0.05,0.4,0.5,1.0,0.4653000000000001,0.5246999999999999
0.05,0.425,0.5,1.0,0.47919999999999996,0.5108000000000001
0.05,0.45,0.5,1.0,0.4465999999999999,0.5434000000000001
0.05,0.475,0.5,1.0,0.4665999999999999,0.5233999999999999
0.075,0.0,0.5,1.0,0.6906999999999998,0.29930000000000007
0.075,0.025,0.5,1.0,0.45490000000000014,0.5350999999999999
0.075,0.05,0.5,1.0,0.4345999999999999,0.5553999999999998
0.075,0.075,0.5,1.0,0.424,0.5660000000000001
0.075,0.1,0.5,1.0,0.4225000000000001,0.5675000000000002
0.075,0.125,0.5,1.0,0.39280000000000004,0.5972000000000002
0.075,0.15,0.5,1.0,0.439,0.551
0.075,0.175,0.5,1.0,0.4228999999999998,0.5670999999999999
0.075,0.2,0.5,1.0,0.40689999999999993,0.5830999999999996
0.075,0.225,0.5,1.0,0.4515,0.5385000000000002
0.075,0.25,0.5,1.0,0.44029999999999986,0.5497000000000001
0.075,0.275,0.5,1.0,0.45519999999999994,0.5348000000000003
0.075,0.3,0.5,1.0,0.4769000000000001,0.5131
0.075,0.325,0.5,1.0,0.46520000000000006,0.5247999999999997
0.075,0.35,0.5,1.0,0.44540000000000013,0.5446000000000001
0.075,0.375,0.5,1.0,0.44999999999999984,0.5399999999999997
0.075,0.4,0.5,1.0,0.46480000000000005,0.5252
0.075,0.425,0.5,1.0,0.48419999999999996,0.5057999999999999
0.075,0.45,0.5,1.0,0.43479999999999996,0.5551999999999999
0.075,0.475,0.5,1.0,0.4566999999999999,0.5332999999999999
0.1,0.0,0.5,1.0,0.6676000000000001,0.3224
0.1,0.025,0.5,1.0,0.4234999999999999,0.5665
0.1,0.05,0.5,1.0,0.43780000000000013,0.5522000000000001
0.1,0.075,0.5,1.0,0.4107,0.5793
0.1,0.1,0.5,1.0,0.4145000000000001,0.5755000000000002
0.1,0.125,0.5,1.0,0.4250999999999999,0.5649
0.1,0.15,0.5,1.0,0.4346,0.5554
0.1,0.175,0.5,1.0,0.41600000000000015,0.574
0.1,0.2,0.5,1.0,0.43290000000000006,0.5571
0.1,0.225,0.5,1.0,0.44549999999999995,0.5444999999999999
0.1,0.25,0.5,1.0,0.4396,0.5504
0.1,0.275,0.5,1.0,0.4307,0.5593
0.1,0.3,0.5,1.0,0.4493999999999999,0.5406000000000002
0.1,0.325,0.5,1.0,0.4494,0.5406000000000002
0.1,0.35,0.5,1.0,0.4700999999999999,0.5198999999999999
0.1,0.375,0.5,1.0,0.45899999999999996,0.531
0.1,0.4,0.5,1.0,0.46800000000000014,0.5219999999999997
0.1,0.425,0.5,1.0,0.47309999999999997,0.5169000000000002
